Date,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40
2/3/2024,8.154517324,4.780169453,9.144763329,6.888988483,7.263798368,6.750405485,4.299414024,7.432975871,1.767884479,3.330511018,9.004324547,9.694063473,6.463125116,7.288273616,7.710273897,7.106372743,5.597277516,3.822080854,8.739751432,4.356806968,5.071950042,4.157151013,4.735389301,5.984628545,5.192144674,2.797324712,1.706410294,2.995207668,5.608143154,5.537931782,3.938133812,2.615164481,2.295801962,4.550245959,4.671117484,3.873405069,3.7888168,3.464502742,2.851136028,2.155515467
2/19/2024,8.154517324,4.780169453,9.144763329,6.888988483,7.263798368,6.750405485,4.299414024,7.432975871,1.767884479,3.330511018,9.004324547,9.694063473,6.463125116,7.288273616,7.710273897,7.106372743,5.597277516,3.822080854,8.739751432,4.356806968,5.071950042,4.157151013,4.735389301,5.984628545,5.192144674,2.797324712,1.706410294,2.995207668,5.608143154,5.537931782,3.938133812,2.615164481,2.295801962,4.550245959,4.671117484,3.873405069,3.7888168,3.464502742,2.851136028,2.155515467
3/8/2024,7.683294692,5.861637004,8.119679561,6.061989964,5.233214922,1.970264895,5.413499194,11.02165996,1.565258181,3.437032213,6.81994544,7.976113087,3.269252263,7.06599248,5.585443298,5.112872808,3.947163374,3.15864114,7.475277984,4.232624055,9.896385587,4.892338806,9.015120234,9.893599125,6.333884106,2.076591154,2.492766735,7.051089029,7.208207732,9.118583091,3.861839852,4.097996338,4.691779147,6.448607654,8.694886832,6.278106909,4.547695022,5.449453104,4.229847863,4.86399617
3/23/2024,3.81072522,0,3.286056149,2.465037279,1.51006294,0.1044210256,3.993842709,5.598208573,0.4293360419,0,2.58646488,4.744946582,2.093559227,5.32969446,1.601040452,2.55944902,2.830329554,1.859103385,2.874777767,3.329210176,5.835820189,3.56703567,3.202395453,4.672021419,3.787665886,1.037279676,0.5808709456,5.03006012,3.41534659,2.775638283,4.924036405,1.089476124,2.935754993,4.335407129,5.00841144,2.032965211,3.683241252,3.141718354,3.171273229,3.493051625
