Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g)
3/8/2024,T2,C,10,25.9,2.2844,32.8,1021.434252,1.021434252,2.93,0.3486123726,0.6513876274,3.506974808
3/8/2024,T2,C,4,25.9,2.2667,32.8,1021.434252,1.021434252,2.93,0.3486123726,0.6513876274,3.479802048
3/8/2024,T2,M9,7,25.9,2.6798,32.6,1021.283526,1.021283526,2.93,0.3485609305,0.6514390695,4.113661776
3/8/2024,T2,C,18,26,1.5562,32.7,1021.328046,1.021328046,2.93,0.3485761249,0.6514238751,2.388920731
3/8/2024,T2,SI,14,26,2.382,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,3.656749673
3/8/2024,T2,SI,10,26,1.2504,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,1.919563304
3/8/2024,T2,M9,3,26,4.6273,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,7.103643057
3/8/2024,T2,C,7,26,2.6089,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,4.005077339
3/8/2024,T2,C,9,26.1,1.5594,32.9,1021.447811,1.021447811,2.93,0.3486170002,0.6513829998,2.393983264
3/8/2024,T2,C,1,26.1,1.9937,32.9,1021.447811,1.021447811,2.93,0.3486170002,0.6513829998,3.060718503
3/8/2024,T2,C,8,26.2,1.8947,32.9,1021.41679,1.02141679,2.93,0.3486064129,0.6513935871,2.90868691
3/8/2024,T2,C,5,26.2,2.1252,32.9,1021.41679,1.02141679,2.93,0.3486064129,0.6513935871,3.262543633
3/8/2024,T2,M9,2,26.2,2.2298,32.9,1021.41679,1.02141679,2.93,0.3486064129,0.6513935871,3.423122432
3/8/2024,T2,SI,8,26.3,2.1489,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,3.298743239
3/8/2024,T2,SI,7,26.3,2.9019,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,4.454661922
3/8/2024,T2,SI,6,26.3,2.7325,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,4.194618595
3/8/2024,T2,SI,1,26.3,1.9874,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,3.05082708
3/8/2024,T2,M9,9,26.3,3.4763,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,5.336414501
3/8/2024,T2,SI,2,26.4,2.1111,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.240664133
3/8/2024,T2,M9,1,26.4,2.439,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.744010146
3/8/2024,T2,M9,8,26.4,1.3136,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,2.016454173
3/8/2024,T2,SI,5,26.4,2.49,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.822298181
3/8/2024,T2,C,3,26.4,2.135,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.277352055
