Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g),Initial SurfaceArea (cm2)
2/19/2024,T1,M9,4,27.1,0.824,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.264195307,9.8459
2/19/2024,T1,SI,4,27.1,3.5369,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,5.426374248,27.397
2/19/2024,T1,SI,11,27.1,0.8856,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.358703111,10.057
2/19/2024,T1,C,13,27.1,1.0505,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.611695594,16.28
2/19/2024,T1,C,15,27.1,2.0075,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,3.079941843,18.665
2/19/2024,T1,C,6,27.1,1.7191,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.637473485,22.573
2/19/2024,T1,C,12,27.1,1.8749,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.876504588,18.486
2/19/2024,T1,SI,9,27.1,1.8176,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.788593919,17.278
2/19/2024,T1,M9,5,27.1,0.7633,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.171068298,10.742
2/19/2024,T1,M9,6,27.1,1.1993,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,1.839987174,17.273
2/19/2024,T1,SI,12,27.1,1.8061,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.770950417,18.86
2/19/2024,T1,C,11,27.1,2.1415,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,3.285527002,20.431
2/19/2024,T1,SI,15,27.1,1.4242,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.185032714,16.135
2/19/2024,T1,C,14,27.1,1.7718,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.718326753,18.54
2/19/2024,T1,C,16,27.1,1.9497,31.7,1020.231796,1.020231796,2.93,0.3482019783,0.6517980217,2.991264065,21.585
3/8/2024,T2,SI,3,25.9,2.5367,32.7,1021.358887,1.021358887,2.93,0.3485866508,0.6514133492,3.894148014,
3/8/2024,T2,C,2,25.9,2.0788,32.7,1021.358887,1.021358887,2.93,0.3485866508,0.6514133492,3.191214921,
3/8/2024,T2,C,10,25.9,2.2844,32.8,1021.434252,1.021434252,2.93,0.3486123726,0.6513876274,3.506974808,
3/8/2024,T2,C,4,25.9,2.2667,32.8,1021.434252,1.021434252,2.93,0.3486123726,0.6513876274,3.479802048,
3/8/2024,T2,M9,7,25.9,2.6798,32.6,1021.283526,1.021283526,2.93,0.3485609305,0.6514390695,4.113661776,
3/8/2024,T2,C,18,26,1.5562,32.7,1021.328046,1.021328046,2.93,0.3485761249,0.6514238751,2.388920731,
